,days,tests administered,positive test results,isolation pool,models proba pos test
0.0,1.0,0.0,0.0,3.022041346971232,0.001765594051860898
1.0,2.0,0.0,0.0,3.072965358124263,0.002580433201206867
2.0,3.0,4.0,0.0100795593528734,3.1053037622782518,0.0025198898382183723
3.0,4.0,225.0,0.5569784939179885,3.2948666062718583,0.002475459972968838
4.0,5.0,74.0,0.1800611562428201,3.5362386291890946,0.0024332588681462183
5.0,6.0,102.0,0.2458054834927511,3.521275944313619,0.0024098576813014823
6.0,7.0,4.0,0.0095809679421934,3.4975251454183685,0.0023952419855483736
7.0,8.0,0.0,0.0,3.38883857565313,0.002414163622164674
8.0,9.0,0.0,0.0,3.369794095472553,0.002588929427705886
9.0,10.0,2.0,0.0054974305568733,3.417369613173726,0.0027487152784366753
10.0,11.0,211.0,0.6064105480723541,3.690932404368683,0.0028739836401533367
11.0,12.0,76.0,0.224861025827979,4.096252657957915,0.002958697708262882
12.0,13.0,97.0,0.2944774558353561,4.256089882249039,0.00303585006015831
13.0,14.0,1.0,0.0031007750513167,4.402010634194902,0.003100775051316718
14.0,15.0,0.0,0.0,4.436839563090698,0.003187855389163156
15.0,16.0,0.0,0.0,4.569385124016095,0.0034194929088582
16.0,17.0,3.0,0.0108814182362595,4.771919543773106,0.0036271394120865317
17.0,18.0,241.0,0.9135307710252106,5.301142182786305,0.0037905841121378034
18.0,19.0,102.0,0.3969064349998206,6.081799762630513,0.0038912395588217717
19.0,20.0,143.0,0.5703523950547185,6.529547317949862,0.003988478287095934
20.0,21.0,428.0,1.7370858990793714,7.458017049689242,0.00405861191373685
21.0,22.0,0.0,0.0,8.327006164488589,0.0040996704924199405
22.0,23.0,0.0,0.0,8.216381706140096,0.004356929319887576
23.0,24.0,2.0,0.0091960828890436,8.364568546413151,0.004598041444521812
24.0,25.0,289.0,1.3836931186972128,9.051728101489882,0.004787865462620114
25.0,26.0,127.0,1.0,10.187760090664321,0.0048862691595329645
26.0,27.0,119.0,0.5944029028716549,10.740695564074436,0.00499498237707273
27.0,28.0,1.0,0.0050990392655345,11.128128506932613,0.005099039265534574
28.0,29.0,0.0,0.0,11.239564502637691,0.005243017801579903
29.0,30.0,0.0,0.0,11.473398886797241,0.005531951688535128
30.0,31.0,7.0,0.0405592886017206,11.798947005626147,0.0057941840859600914
31.0,32.0,289.0,2.0,12.731998727958489,0.006000875130420388
32.0,33.0,101.0,0.6157014087669102,14.175789707706278,0.006096053552147627
33.0,34.0,160.0,3.0,14.934385934509542,0.006221159278729207
34.0,35.0,5.0,0.0316355826852576,15.622061505981813,0.0063271165370515385
35.0,36.0,0.0,0.0,15.7613927497968,0.006495650537991983
36.0,37.0,0.0,0.0,16.024044456759295,0.006814384467492142
37.0,38.0,4.0,0.0284252774933273,16.38500190040022,0.007106319373331844
38.0,39.0,242.0,1.7766468696068118,17.37464674008425,0.007341515990110792
39.0,40.0,98.0,2.0,18.966753889035033,0.0074554486543657456
40.0,41.0,148.0,2.0,19.912832778785848,0.0075987302524847915
41.0,42.0,680.0,11.0,22.41283393476195,0.007678186589668263
42.0,43.0,0.0,0.0,25.290762388001436,0.007575145676156511
43.0,44.0,0.0,0.0,24.851493550944088,0.007911195525180782
44.0,45.0,73.0,1.0,25.00125528771835,0.008252824464397656
45.0,46.0,123.0,2.0,25.778187821194376,0.00850749032428949
46.0,47.0,280.0,2.4320996363550567,27.243170781013735,0.008686070129839487
47.0,48.0,484.0,4.230245998679347,29.97720918467179,0.008740177683221792
48.0,49.0,344.0,2.9850430278849727,33.04080177626616,0.008677450662456315
49.0,50.0,0.0,0.0,34.08936171337643,0.0087298727289137
50.0,51.0,0.0,0.0,33.49012206493584,0.009125230907811263
51.0,52.0,90.0,2.0,33.49891887156758,0.009501692266687118
52.0,53.0,20.0,0.1956349074400749,33.92123888644462,0.009781745372003743
53.0,54.0,87.0,0.8749409603800395,34.19629173491032,0.010056792648046431
54.0,55.0,150.0,3.0,35.14814643873342,0.010262513152182419
55.0,56.0,40.0,1.0,36.07241294445799,0.01041496476594605
56.0,57.0,0.0,0.0,36.15924403766426,0.010651799115871647
57.0,58.0,0.0,0.0,36.13656247361445,0.01106971663751482
58.0,59.0,374.0,4.271909327155967,37.637034225406204,0.011422217452288677
59.0,60.0,576.0,6.586630542298291,42.34811104757093,0.011435122469267865
60.0,61.0,818.0,10.0,48.72105178264587,0.011227779936062115
61.0,62.0,1187.0,12.82963570172836,57.12746018257645,0.01080845467710898
62.0,63.0,78.0,0.8015408286145453,62.76357015657441,0.010276164469417249
63.0,64.0,0.0,0.0,60.56572673372324,0.010554889019153205
64.0,65.0,0.0,0.0,58.68039891227562,0.0111087279018584
65.0,66.0,106.0,1.2293999876683657,57.638750893604254,0.011598113091210996
66.0,67.0,31.555555555555557,0.3752008376411234,57.32918210865055,0.007926778260023736
